id,gametask_name,AppID,Name
93,Partisans1941,1227530,Partisans 1941
94,AzurLaneCrosswave,1150080,Azur Lane Crosswave
95,Redfall,1294810,Redfall
96,CrimeBossRockayCity,2933080,Crime Boss: Rockay City
97,TheDarkPicturesAnthologyLittleHope,1194630,The Dark Pictures Anthology: Little Hope
98,SenuasSagaHellbladeII,2461850,Senua’s Saga: Hellblade II
99,DeadIsland2,934700,Dead Island 2
100,THEKINGOFFIGHTERSXV,1498570,THE KING OF FIGHTERS XV
101,TheDarkPicturesAnthologyHouseofAshes,1281590,The Dark Pictures Anthology: House of Ashes
102,MarvelsMidnightSuns,368260,Marvel's Midnight Suns
103,LikeADragonIshin,1805480,Like a Dragon: Ishin!
104,MARVELVSCAPCOMINFINITE,493840,Marvel vs. Capcom: Infinite
105,MechWarrior5Mercenaries,784080,MechWarrior 5: Mercenaries
106,TheQuarry,1577120,The Quarry
107,BattlefleetGothicArmadaII,363680,Battlefleet Gothic: Armada
108,XERA,625340,XERA: Survival
109,DestroyAllHumans2Reprobed,1266700,Destroy All Humans! 2 - Reprobed
110,RIDE4,1259980,RIDE 4
111,EvilWest,1065310,Evil West
112,LastOasis,903950,Last Oasis
113,SpaceHulkDeathwingEnhancedEdition,816090,Space Hulk: Deathwing Enhanced Edition
114,TheFront,2285150,The Front
115,BeyondtheWire,1058650,Beyond The Wire
116,StrategicMindThePacific,991810,Strategic Mind: The Pacific
117,GrandEmpriseTimeTravelSurvival,2236300,Grand Emprise: Time Travel Survival
118,PhantomDoctrine,559100,Phantom Doctrine
119,Trepang2,1164940,Trepang2
120,ONEPIECEODYSSEY,814000,ONE PIECE ODYSSEY
121,TerminatorResistance,954740,Terminator: Resistance
122,Automation,1698690,Automation
123,TCSM,1433140,The Texas Chain Saw Massacre
124,FadeToSilence,706020,Fade to Silence
125,DrugDealerSimulator2,1708850,Drug Dealer Simulator 2
126,SherlockHolmesTheAwakened,1949030,Sherlock Holmes The Awakened
127,DeathlyStillnessGame,1727650,死寂（Deathly Stillness）
128,ChainedTogether,2567870,Chained Together
129,ChooChooCharles,1766740,Choo-Choo Charles
130,Demonologist,1929610,Demonologist
131,Pacify,967050,Pacify
132,LastTrainHome,1469610,Last Train Home
133,KenaBridgeofSpirits,1954200,Kena: Bridge of Spirits
134,SherlockHolmesTheDevilsDaughter,350640,Sherlock Holmes: The Devil's Daughter
135,Maneater,629820,Maneater
136,Sifu,2138710,Sifu
137,MidnightGhostHunt,915810,Midnight Ghost Hunt
138,ProjectWingman,895870,Project Wingman
139,Palia,2707930,Palia
140,Visage,594330,Visage
141,WewhoareabouttoDie,973230,We Who Are About To Die
142,Hydroneer,1106840,Hydroneer
143,DarkDeception,332950,Dark Deception
144,Thymesia,1343240,Thymesia
145,XComEnemyUnknown,200510,XCOM: Enemy Unknown
146,BatmanArkhamCityGOTY,57400,Batman: Arkham City
147,Boltgun,2005010,"Warhammer 40,000: Boltgun"
148,POSTAL4,707030,POSTAL 4: No Regerts
149,BrothersATaleofTwoSons,225080,Brothers - A Tale of Two Sons
150,DaemonXMachina,1167450,DAEMON X MACHINA
151,RoboQuest,692890,Roboquest
152,TheCrust,1465470,The Crust
153,CrabChampions,774801,Crab Champions
154,OutlawsoftheOldWest,840800,Outlaws of the Old West
155,LandoftheVikings,1981570,Land of the Vikings
156,TheMeanGreensPlasticWarfare,360940,The Mean Greens - Plastic Warfare
157,CaptainSpirit,845070,The Awesome Adventures of Captain Spirit
158,TheBlackoutClub,599080,The Blackout Club
159,GolfIt,571740,Golf It!
160,BulletstormFullClipEdition,501590,Bulletstorm: Full Clip Edition
161,BatmanArkhamAsylumGOTY,35010,Batman: Arkham Asylum Game of the Year Edition
162,VALKYRIEELYSIUM,1963210,VALKYRIE ELYSIUM
163,KHOLAT,343710,Kholat
164,MurderedSoulSuspect,233290,Murdered: Soul Suspect
165,Farlight84,1928420,Farlight 84
166,Earthfall,415590,Earthfall
167,InVerbisVirtus,307860,In Verbis Virtus
168,VEILEDEXPERTS,1934780,VEILED EXPERTS
169,DeceiveInc,820520,Deceive Inc.
170,AvenColony,484900,Aven Colony
171,BlairWitch,1092660,Blair Witch
172,MeetYourMaker,1194810,Meet Your Maker
173,OmegaStrikers,1869590,Omega Strikers
174,SwordWithSauce,581630,Sword With Sauce
175,Superfuse,1770080,Superfuse
176,MIR4,1623660,MIR4
177,EnGarde,415170,Engare
178,MoonsofMadness,1012840,Moons of Madness
179,ASYLUM,230210,ASYLUM
195,HYPERCHARGE Unboxed,523660,HYPERCHARGE: Unboxed
196,Junkyard Simulator,671970,Junkyard Simulator
197,Assetto Corsa Competizione,805550,Assetto Corsa Competizione
198,HyperParasite,838110,HyperParasite
199,Little Nightmares II,860510,Little Nightmares II
200,Cepheus Protocol,979640,Cepheus Protocol
201,Police Shootout,1279240,Police Shootout
202,Hello Neighbor 2,1321680,Hello Neighbor 2
203,Train Life A Railway Simulator,1330660,Train Life: A Railway Simulator
204,CRISIS CORE CFINAL FANTASY VIIC REUNION,1608070,CRISIS CORE –FINAL FANTASY VII– REUNION
205,RIDE 5,1650010,RIDE 5
206,Moon Mystery,1933840,Moon Mystery
207,Train Sim World03 3,1944790,Train Sim World® 3
208,Enotria The Last Song,2102450,Enotria: The Last Song
209,Shoulders of Giants Ultimate,2283880,Shoulders of Giants: Ultimate
210,Pirates Journey,2099670,Pirates Journey
211,MotoGP6423,2100160,MotoGP™23
212,REMNANT II03,1282100,Remnant II
213,GYLT,2206210,GYLT
214,DRAGON BALL Sparking ZERO,1790600,DRAGON BALL: Sparking! ZERO
215,Retail Company Simulator,3089130,Retail Company Simulator
216,Ultra Age,1683100,Ultra Age
217,HARVESTELLA,1816300,HARVESTELLA
218,Fae Farm,2230110,Fae Farm
219,DeathSprint 66,1273560,DeathSprint 66
220,BEAST False Prophet,2218680,Interregnum: False Prophet
221,Beat Hazard 3,1493520,Beat Hazard 3
222,Tails Noir,1283410,Tails of Iron
223,Stray Souls,1807210,Stray Souls
224,KINGDOM HEARTS III  Re Mind DLC,2552450,KINGDOM HEARTS III + Re Mind (DLC)
225,Trials of Mana,924980,Trials of Mana
226,No One Survived,1963370,No One Survived
227,Still Wakes the Deep,1622910,Still Wakes the Deep
228,First Dwarf,1714900,First Dwarf
229,Gori Cuddly Carnage,1299690,Gori: Cuddly Carnage
230,Ship Graveyard Simulator 2,2201940,Ship Graveyard Simulator 2
231,Backrooms Escape Together,2141730,Backrooms: Escape Together
232,Immortals of Aveum64,2009100,Immortals of Aveum™
233,Outcast  A New Beginning,1013140,Outcast - A New Beginning
234,SpongeBob SquarePants The Cosmic Shake,1282150,SpongeBob SquarePants: The Cosmic Shake
235,Stray Blade,1621990,Stray Blade
236,Borderlands Game of the Year Enhanced,729040,Borderlands Game of the Year Enhanced
237,Bum Simulator,855740,Bum Simulator
238,EVERSPACE64,396750,EVERSPACE™
239,Man in the Dark,2694920,Man in the Dark
240,QUBE 2,359100,Q.U.B.E. 2
241,The Invincible,731040,The Invincible
242,A House of Thieves,1506760,A House of Thieves
243,Industry Giant 40,1129570,Industry Giant 4.0
244,Aliens Dark Descent,1150440,Aliens: Dark Descent
245,Witchfire,3156770,Witchfire
246,Empire of the Ants,2287330,Empire of the Ants
247,The Talos Principle 2,835960,The Talos Principle 2
248,Metro Awakening,2669410,Metro Awakening
249,Under The Waves,1975440,Under The Waves
250,Way of the Hunter,1288320,Way of the Hunter
251,Park Beyond,1368130,Park Beyond
252,Lunch Lady,1571440,Lunch Lady
253,INDIKA,1373960,INDIKA
254,INDUSTRIA,1172650,INDUSTRIA
255,Blood Bowl 3,1016950,Blood Bowl 3
256,Granny Remake,2110820,Granny Remake
257,The Seven Awakenings I Randall,2259290,The Seven Awakenings: I Randall
258,Jonesville,2855500,Jonesville
259,The Cursed Legacy,2824210,The Cursed Legacy
260,Warstride Challenges,1608470,Warstride Challenges
261,Might  Magic03 Heroes03 VII,321960,Might & Magic® Heroes® VII
262,Total Conflict Resistance,1860510,Total Conflict: Resistance
263,Alaskan Road Truckers,849100,Alaskan Road Truckers
264,Gangs of Sherwood,1351000,Gangs of Sherwood
